# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-11-16
#
# GRDC-No.:              3629001
# River:                 AMAZON RIVER
# Station:               OBIDOS - LINIGRAFO
# Country:               --
# Latitude (DD):       -1.9192
# Longitude (DD):      -55.5131
# Catchment area (km²):      
# Altitude (m ASL):        37.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2020
# No. of years:          53
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 625
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1996-05-01;--:--;   -999.000; 226097.498; 100
1996-06-01;--:--;   -999.000; 225645.695; 100
1996-07-01;--:--;   -999.000; 214370.509; 100
1996-08-01;--:--;   -999.000; 191934.620; 100
1996-09-01;--:--;   -999.000; 153335.294; 100
1996-10-01;--:--;   -999.000; 110739.234; 100
1996-11-01;--:--;   -999.000; 108330.702; 100
1996-12-01;--:--;   -999.000; 121664.690; 100
1997-01-01;--:--;   -999.000; 138679.957; 100
1997-02-01;--:--;   -999.000; 161276.735; 100
1997-03-01;--:--;   -999.000; 188222.913; 100
1997-04-01;--:--;   -999.000; 220733.555; 100
1997-05-01;--:--;   -999.000; 235363.350; 100
1997-06-01;--:--;   -999.000; 229963.978; 100
1997-07-01;--:--;   -999.000; 211346.863; 100
1997-08-01;--:--;   -999.000; 179678.010; 100
1997-09-01;--:--;   -999.000; 124595.364; 100
1997-10-01;--:--;   -999.000;  77189.312; 100
1997-11-01;--:--;   -999.000;  72500.481; 100
1997-12-01;--:--;   -999.000;  91783.356; 100
1998-01-01;--:--;   -999.000; 115416.508; 100
1998-02-01;--:--;   -999.000; 131383.531; 100
1998-03-01;--:--;   -999.000; 152515.544; 100
1998-04-01;--:--;   -999.000; 174568.186; 100
1998-05-01;--:--;   -999.000; 193998.800; 100
1998-06-01;--:--;   -999.000; 201291.115; 100
1998-07-01;--:--;   -999.000; 197176.387; 100
1998-08-01;--:--;   -999.000; 175723.041; 100
1998-09-01;--:--;   -999.000; 128179.849; 100
1998-10-01;--:--;   -999.000;  83588.096; 100
1998-11-01;--:--;   -999.000;  85062.288; 100
1998-12-01;--:--;   -999.000; 112590.032; 100
1999-01-01;--:--;   -999.000; 130448.292; 100
1999-02-01;--:--;   -999.000; 165966.521; 100
1999-03-01;--:--;   -999.000; 200097.178; 100
1999-04-01;--:--;   -999.000; 218181.443; 100
1999-05-01;--:--;   -999.000; 231611.186; 100
1999-06-01;--:--;   -999.000; 237262.614; 100
1999-07-01;--:--;   -999.000; 227182.251; 100
1999-08-01;--:--;   -999.000; 208533.522; 100
1999-09-01;--:--;   -999.000; 175115.953; 100
1999-10-01;--:--;   -999.000; 119945.888; 100
1999-11-01;--:--;   -999.000;  93802.027; 100
1999-12-01;--:--;   -999.000;  95512.123; 100
2000-01-01;--:--;   -999.000; 126725.948; 100
2000-02-01;--:--;   -999.000; 153439.475; 100
2000-03-01;--:--;   -999.000; 181099.434; 100
2000-04-01;--:--;   -999.000; 208660.097; 100
2000-05-01;--:--;   -999.000; 227073.054; 100
2000-06-01;--:--;   -999.000; 227745.431; 100
2000-07-01;--:--;   -999.000; 220240.652; 100
2000-08-01;--:--;   -999.000; 204246.425; 100
2000-09-01;--:--;   -999.000; 174013.929; 100
2000-10-01;--:--;   -999.000; 133905.244; 100
2000-11-01;--:--;   -999.000; 114717.110; 100
2000-12-01;--:--;   -999.000; 109532.117; 100
2001-01-01;--:--;   -999.000; 131942.784; 100
2001-02-01;--:--;   -999.000; 168334.193; 100
2001-03-01;--:--;   -999.000; 195429.744; 100
2001-04-01;--:--;   -999.000; 218934.836; 100
2001-05-01;--:--;   -999.000; 225291.648; 100
2001-06-01;--:--;   -999.000; 222683.274; 100
2001-07-01;--:--;   -999.000; 212124.670; 100
2001-08-01;--:--;   -999.000; 186212.084; 100
2001-09-01;--:--;   -999.000; 146360.864; 100
2001-10-01;--:--;   -999.000; 104969.095; 100
2001-11-01;--:--;   -999.000;  90676.000; 100
2001-12-01;--:--;   -999.000; 104055.137; 100
2002-01-01;--:--;   -999.000; 143649.394; 100
2002-02-01;--:--;   -999.000; 158893.536; 100
2002-03-01;--:--;   -999.000; 183255.537; 100
2002-04-01;--:--;   -999.000; 203689.247; 100
2002-05-01;--:--;   -999.000; 216141.978; 100
2002-06-01;--:--;   -999.000; 222286.852; 100
2002-07-01;--:--;   -999.000; 217530.272; 100
2002-08-01;--:--;   -999.000; 199831.910; 100
2002-09-01;--:--;   -999.000; 167807.952; 100
2002-10-01;--:--;   -999.000; 118513.629; 100
2002-11-01;--:--;   -999.000;  98215.669; 100
2002-12-01;--:--;   -999.000; 117836.495; 100
2003-01-01;--:--;   -999.000; 137618.671; 100
2003-02-01;--:--;   -999.000; 153168.048; 100
2003-03-01;--:--;   -999.000; 169645.811; 100
