"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
28850246.69,-138663.81,90963.42,12172094998.75,-9851604958.90,296.93
64260280.40,-71480.70,-168825.49,16882098017.65,-11514510945.40,296.89
96930702.10,15640.78,-304187.96,20225228485.82,-12571546125.98,297.04
102104401.93,185877.88,-247146.63,22001042054.76,-13085946085.34,296.59
64148469.08,651.47,122199.78,17384869157.61,-12603798146.35,296.91
370171.37,-32815.91,132395.90,12685283665.34,-12332219641.26,297.72
13830080.24,-319992.49,-70717.98,13460117398.55,-12965210306.17,299.13
70679270.67,116344.74,-252679.70,19645771362.49,-14127354676.12,297.91
25032292.95,10892.06,-176962.06,15227682212.11,-14099785074.12,297.95
-13246854.81,-29000.71,-84171.02,11717227497.93,-12506177803.46,297.17
-31891515.63,-109648.02,76272.64,7488086919.84,-10155177159.09,296.81
-19369366.65,-105092.42,160610.43,7050026002.46,-9206509760.71,296.69
29329346.34,-206303.87,118282.66,12291084594.47,-9721283025.89,297.02
76727772.73,-108869.76,-131702.99,16823897194.59,-11032437132.47,297.43
96755036.82,30611.88,-251852.02,21776153844.85,-12431797394.30,296.89
55167988.77,-297295.31,-154878.03,18005408176.22,-13340692642.66,297.10
42708329.14,-264742.60,-245446.62,16720927194.79,-12777455260.19,297.06
24339057.21,-152976.55,-15621.05,15242997707.44,-12779667176.84,297.50
56802280.75,-121384.67,-169464.40,18181897547.50,-13060003290.69,297.90
72074364.69,169083.13,-115788.29,19805676405.98,-13730683883.71,297.28
32414784.28,275665.04,-211817.07,17455257006.01,-14168252409.92,297.22
1618990.84,-16570.45,72337.35,12950053292.54,-11838464739.79,296.82
-61091130.28,-67935.17,77393.67,6210929371.46,-10303275205.15,296.85
-15921688.13,-81557.11,128790.85,7312928797.63,-9171870487.69,296.79
26876702.39,-148249.94,139465.91,11373711913.17,-9968514985.69,297.04
60243646.88,-116175.02,-148123.81,16878489193.17,-11526313612.38,296.91
83179362.46,-137485.28,-239520.37,19940867735.53,-12746939613.27,297.39
121704840.66,201815.19,-253386.64,24484758582.34,-13000043252.66,296.32
56892699.19,79400.20,233992.76,17873460306.46,-12404785572.15,296.50
28661389.52,22455.01,264081.71,13930335330.69,-12025879222.66,297.43
31585623.62,-76431.51,132794.59,14567825350.91,-12638673426.82,297.97
31336620.90,-61861.32,-224374.19,15436861495.73,-13836556982.87,298.05
