Date,Discharge [ft^3/s]
2011-04-16,983000
2011-04-17,992000
2011-04-18,1000000
2011-04-19,1010000
2011-04-20,1020000
2011-04-21,1050000
2011-04-22,1090000
2011-04-23,1130000
2011-04-24,1160000
2011-04-25,1200000
2011-04-26,1240000
2011-04-27,1290000
2011-04-28,1340000
2011-04-29,1390000
2011-04-30,1440000
2011-05-01,1490000
2011-05-02,1540000
2011-05-03,1590000
2011-05-04,1650000
2011-05-05,1700000
2011-05-06,1760000
2011-05-07,1820000
2011-05-08,1890000
2011-05-09,1960000
2011-05-10,2020000
2011-05-11,2080000
2011-05-12,2140000
2011-05-13,2200000
2011-05-14,2230000
2011-05-15,2270000
2011-05-16,2290000
2011-05-17,2310000
2011-05-18,2310000
2011-05-19,2280000
2011-05-20,2250000
2011-05-21,2230000
2011-05-22,2200000
2011-05-23,2150000
2011-05-24,2100000
2011-05-25,2050000
2011-05-26,2010000
2011-05-27,1970000
2011-05-28,1930000
2011-05-29,1880000
2011-05-30,1830000
2011-05-31,1780000
2011-06-01,1740000
2011-06-02,1690000
2011-06-03,1650000
2011-06-04,1610000
2011-06-05,1580000
2011-06-06,1540000
2011-06-07,1500000
2011-06-08,1470000
2011-06-09,1430000
2011-06-10,1390000
2011-06-11,1350000
2011-06-12,1310000
2011-06-13,1260000
2011-06-14,1210000
2011-06-15,1170000
2011-06-16,1130000
2011-06-17,1090000
2011-06-18,1040000
2011-06-19,1000000
2011-06-20,962000
2011-06-21,928000
2011-06-22,906000
2011-06-23,887000
2011-06-24,874000
2011-06-25,869000
2011-06-26,870000
2011-06-27,873000
2011-06-28,882000
2011-06-29,896000
2011-06-30,910000
2011-07-01,925000
2011-07-02,938000
2011-07-03,952000
2011-07-04,964000
2011-07-05,979000
2011-07-06,982000
2011-07-07,982000
2011-07-08,978000
2011-07-09,972000
2011-07-10,964000
2011-07-11,953000
2011-07-12,939000
2011-07-13,926000
2011-07-14,916000
2011-07-15,901000
2011-07-16,886000
2011-07-17,870000
2011-07-18,851000
2011-07-19,831000
2011-07-20,812000
2011-07-21,790000
2011-07-22,766000
2011-07-23,740000
2011-07-24,716000
2011-07-25,694000
2011-07-26,677000
2011-07-27,660000
2011-07-28,642000
2011-07-29,625000
2011-07-30,614000
2011-07-31,603000
2011-08-01,594000
2011-08-02,588000
2011-08-03,585000
2011-08-04,587000
2011-08-05,586000
2011-08-06,583000
2011-08-07,578000
2011-08-08,573000
2011-08-09,572000
2011-08-10,572000
2011-08-11,574000
2011-08-12,579000
2011-08-13,586000
2011-08-14,585000
2011-08-15,579000
2011-08-16,570000
2011-08-17,558000
2011-08-18,543000
2011-08-19,531000
2011-08-20,518000
2011-08-21,509000
2011-08-22,501000
2011-08-23,494000
2011-08-24,492000
2011-08-25,488000
2011-08-26,482000
2011-08-27,477000
2011-08-28,470000
2011-08-29,463000
2011-08-30,455000
2011-08-31,450000
2011-09-01,449000
2011-09-02,450000
2011-09-03,449000
2011-09-04,447000
2011-09-05,446000
2011-09-06,437000
2011-09-07,422000
2011-09-08,412000
2011-09-09,403000
2011-09-10,395000
