id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
248,1999,8,203300,220822.580645161,237000,-182001733.675272,184290152.387709,99427279.74734,21311553.230804,-488669.657611,110163.183495
249,1999,9,150000,177300,202100,-201790792.607632,284841311.128314,72429719.73351,106333067.252432,67564.989511,-419178.258473
250,1999,10,108000,123058.064516129,147700,-213750912.48266,273943906.584401,76147451.329648,77928315.7445,-136207.032928,-349950.380834
251,1999,11,90650,96835.3333333333,106600,-212339442.073362,345928655.666999,89121932.01854,146563076.882292,-197992.922428,-592334.583984
252,1999,12,92650,98561.935483871,109300,-198060458.296672,445670838.308276,153346709.149625,253858227.108033,80867.12243,-642434.792896
253,2000,1,110600,129458.064516129,141900,-198247806.966266,476364521.870873,221654842.45909,280766034.309222,582373.081734,-477201.036709
254,2000,2,142100,154144.827586207,165900,-202128542.471403,461359823.038869,252326898.454999,257193725.795753,946308.747814,-393714.890928
255,2000,3,165400,183632.258064516,202300,-191581172.78613,492420476.820259,297480988.275997,296003017.251081,1028299.458249,-460595.12524
256,2000,4,203000,220910,237800,-175745963.739341,510041828.147349,342880528.988332,337349941.349624,962777.509809,-151691.258531
257,2000,5,238800,249132.258064516,255000,-162798601.904281,403828889.624465,311999175.242279,231757542.034755,-34691.111227,31465.072053
258,2000,6,243700,250186.666666667,256200,-157922926.999157,291625286.361634,187317739.297053,139891100.495102,-628121.228074,8872.086702
259,2000,7,230100,238387.096774194,244100,-161714117.532437,273044847.854075,155205397.738455,116895707.044514,-756770.627567,-169069.120129
260,2000,8,198000,214525.806451613,229700,-182522187.636581,227548326.63958,109583780.368739,47264786.673425,-548422.769641,-73147.493267
261,2000,9,156100,175516.666666667,197300,-195407359.200463,286911950.261069,88310948.444579,105100602.297091,-292252.157832,-173013.649585
262,2000,10,124700,136283.870967742,154800,-208273249.778653,333192384.618564,104718970.818057,145020666.197985,-102479.918617,-409997.252544
263,2000,11,115400,118183.333333333,123800,-208633133.68968,379016911.948977,126360469.344004,169889426.358264,-56001.172733,-540703.666968
264,2000,12,106500,112951.612903226,123600,-210706348.211398,365715576.770399,136266226.233053,164476212.019621,166926.075913,-725707.966258
265,2001,1,123400,134419.35483871,152600,-196298213.61624,481390932.452121,227966517.62338,294328011.171097,1167223.214353,-202783.718456
266,2001,2,153600,168842.857142857,183000,-199557150.928823,448593512.001893,233361792.536137,265292292.782223,350535.626694,-236341.324545
267,2001,3,184400,201964.516129032,218800,-194598141.3226,469972900.977245,266913412.625885,282511689.304743,748738.215348,-387544.113142
268,2001,4,220300,236406.666666667,245300,-189235007.90234,420094280.829844,271990358.464191,242004642.116639,283912.355831,-268404.265121
269,2001,5,244800,246319.35483871,249200,-167278475.461384,375580566.087213,239603792.815349,217027919.771366,-121093.444955,-314992.717854
270,2001,6,239500,242206.666666667,245100,-151824954.53666,294065869.672264,198619136.365577,151396376.182141,-915137.874763,-87461.627073
271,2001,7,210400,226312.903225806,240600,-164170492.063288,254848547.524996,135025706.027937,91021149.391581,-515250.090408,-25717.327574
272,2001,8,169400,189993.548387097,208700,-183795428.038942,170826117.884637,87761650.713017,7605274.685527,-895203.563324,-133389.417942
273,2001,9,127400,147730,168000,-203732545.037229,284933195.40602,78275459.383519,92213792.991507,-308309.626206,-294312.387172
274,2001,10,90990,108248.387096774,126000,-214774091.466767,289844894.373026,69575700.639181,105513496.737974,-342536.06851,-421345.329731
275,2001,11,89800,93668.3333333333,97170,-211971799.956394,333972952.032957,86192186.758674,136372960.847342,-210690.409239,-504911.637882
276,2001,12,98160,107724.516129032,124400,-198992513.71329,478122134.344652,169912196.359416,296005129.607835,200937.434455,-651822.431604
277,2002,1,126600,145603.225806452,156900,-210824744.718848,378223751.649429,171187168.976877,177316174.110779,-73878.212226,-297792.585632
278,2002,2,154800,159367.857142857,171000,-197097664.074746,496664706.807547,252658981.177925,318705689.766491,778091.691903,-604752.398408
279,2002,3,172800,186319.35483871,198200,-201860337.389271,462459418.596451,259881406.924725,269575372.509231,670747.137178,-541226.155641
280,2002,4,199100,214100,227100,-186047487.184815,456992662.710214,265621811.558952,278496085.561205,430126.395043,-509434.573355
281,2002,5,227400,232280.64516129,238900,-171030897.792238,395129810.313819,265970504.193543,239481805.439674,-16541.772398,-254756.149485
282,2002,6,239300,241603.333333333,244000,-160839026.734603,273199644.989377,186631903.38005,117437704.490687,-1385229.681605,-33490.697789
283,2002,7,225500,234312.903225806,242800,-164431757.76567,258405563.076681,142351432.579343,108007172.768198,-1113314.93367,-177958.747252
284,2002,8,189800,208251.612903226,224700,-184645019.081667,218682422.252573,87717167.233694,67024547.565734,-580018.929662,-103540.583971
285,2002,9,148900,168696.666666667,188100,-207651237.802607,212543724.971145,62212989.352311,25301504.76446,-571992.688222,-255007.557482
286,2002,10,94470,121409.35483871,147000,-205826262.701952,301391750.533824,70864178.48416,122922908.652423,90216.815146,-224860.83107
287,2002,11,93700,101376.333333333,109800,-212493716.450594,351349789.823273,105084285.753646,149563757.801513,66959.108691,-348924.916546
288,2002,12,111100,121103.225806452,132000,-198131695.441018,434259007.788531,160433555.334505,245093923.280854,498614.042539,-374211.911049
289,2003,1,132800,139635.483870968,145500,-205292869.294341,376506860.703945,164266905.728137,184726087.473412,310008.675337,-387933.329074
290,2003,2,146300,153846.428571429,160800,-199704748.523632,452954182.880895,214207393.662569,261757520.650225,243982.280916,-244635.885166
291,2003,3,161400,169916.129032258,180500,-192889441.448329,481924210.455519,247661404.114305,295802464.868894,611519.606335,-466026.834676
292,2003,4,182100,202016.666666667,218600,-181490405.857172,466404383.135704,292605257.009256,285583212.720288,444048.825131,-219129.996282
293,2003,5,219600,226096.774193548,228600,-164959722.212016,416898612.554491,274950013.823324,256944403.481688,-487430.091335,-211872.188305
294,2003,6,228600,230366.666666667,233100,-157599707.393419,328470253.845017,216376901.641074,163442018.957121,-197745.944978,-106608.170559
295,2003,7,210400,220496.774193548,227800,-161931353.360049,195393156.763682,134760651.79735,34772465.1639,-1243725.323079,63427.102979
296,2003,8,183100,197770.967741935,210300,-183785566.4713,229705861.986045,93520853.278616,59961605.430544,-909120.389121,-90877.104043
297,2003,9,144100,163736.666666667,182700,-199365453.265404,283451038.945797,82709325.59789,117127986.159976,-237612.901303,-278237.958428
298,2003,10,110900,122235.483870968,142500,-215758155.993224,319113361.932822,91707568.725325,127816517.360515,-11689.377522,-416128.377922
299,2003,11,105600,108243.333333333,111100,-212311361.885392,331397963.205774,93667765.496736,143585605.995219,121578.392776,-349285.643921
300,2003,12,109100,110383.870967742,113600,-203440238.364025,407477624.168922,139648326.342106,215799377.695408,387528.039799,-539169.966686
301,2004,1,112500,129693.548387097,147700,-203496174.186313,401528766.246122,199627167.829163,188677745.523935,-89217.414316,-258026.067719
302,2004,2,148100,156717.24137931,164400,-195398363.68618,436756570.839084,208499067.852179,256049560.995907,745302.817246,-135460.987315
303,2004,3,164400,176609.677419355,192600,-192074467.47171,491808264.012092,251019745.203461,318408858.686041,642128.834172,-291512.605767
304,2004,4,193300,205763.333333333,214600,-188716642.367585,415613767.300507,244886900.697986,241397041.332631,476244.686925,-314979.935157
305,2004,5,215300,222158.064516129,224800,-160359492.669217,371416930.794703,240721936.751264,215678741.422193,-772349.786844,-142470.585542
306,2004,6,206700,214690,219600,-161287402.066801,283601131.222838,172977546.337644,136418299.100431,-1148582.809514,-122050.04045
307,2004,7,185700,196306.451612903,205900,-166424606.011346,247089675.302122,129988442.86141,93273745.402378,-565777.469244,-37698.358842
308,2004,8,162400,174596.774193548,185300,-183686682.184865,208859347.162019,90639710.415334,56011677.032034,-524495.831012,-196248.877998
309,2004,9,132900,147286.666666667,161400,-205064473.72549,253617040.325415,78018297.533696,79935387.708714,-100712.430656,-105989.50941
310,2004,10,113500,120864.516129032,132400,-217196944.314111,319213941.028409,84696819.782433,130275974.428035,-130911.315803,-556655.220559
311,2004,11,107300,109336.666666667,113100,-210968982.831624,362970266.113777,110811858.848059,176358074.484779,19494.739247,-433410.378327
312,2004,12,110100,117806.451612903,127100,-200521380.582672,413720312.755194,146349726.019747,229608329.04498,54177.362402,-522243.781611
313,2005,1,127600,135706.451612903,142300,-212392696.943292,408835172.270376,168468770.516017,210656041.083443,172605.179537,-334764.227906
314,2005,2,142800,151146.428571429,163100,-195607229.429695,510207032.403921,274768118.63351,332116514.12976,232530.35996,-496927.41948
315,2005,3,165000,191538.709677419,219300,-195023631.150428,467268421.259588,278372702.934688,284031908.262177,926956.930783,-359162.535923
316,2005,4,220300,229593.333333333,236200,-183940538.312723,462995729.267131,295141672.776438,286660041.178607,648620.255796,-464403.227418
317,2005,5,236300,244490.322580645,248100,-174679830.128608,332683705.275227,208097046.278888,182598062.966111,-377802.908521,-87470.458257
318,2005,6,221800,233316.666666667,244800,-166570059.510757,237907812.320523,144191281.089982,80501289.639932,-1242871.975204,-133744.80508
